x_m,y_m
-1.200000000000007994e+01,9.578280542986492563e+00
-1.210000000000008136e+01,9.584117647058890910e+00
-1.220000000000008100e+01,9.580000000000067573e+00
-1.230000000000008242e+01,9.580000000000067573e+00
-1.240000000000008384e+01,9.576470588235361348e+00
-1.250000000000008349e+01,9.577782805429931656e+00
-1.260000000000008491e+01,9.587239819004592434e+00
-1.270000000000008633e+01,9.601221719457081250e+00
-1.280000000000008598e+01,9.616108597285133897e+00
-1.290000000000008740e+01,9.628280542986489721e+00
-1.300000000000008882e+01,9.634117647058888068e+00
-1.310000000000008669e+01,9.630000000000064730e+00
-1.325000000000008882e+01,9.630000000000064730e+00
-1.335000000000009024e+01,9.630000000000064730e+00
-1.350000000000008882e+01,9.630000000000064730e+00
-1.365000000000009095e+01,9.630000000000064730e+00
-1.380000000000009130e+01,9.630000000000064730e+00
-1.390000000000009450e+01,9.630000000000064730e+00
-1.405000000000009308e+01,9.630000000000064730e+00
-1.415000000000009628e+01,9.630000000000064730e+00
-1.430000000000009486e+01,9.630000000000064730e+00
-1.440000000000009805e+01,9.630000000000064730e+00
-1.455000000000009663e+01,9.630000000000064730e+00
-1.465352941176480428e+01,9.637647058823594293e+00
-1.475633484162905873e+01,9.638144796380155199e+00
-1.488873303167430784e+01,9.595791855203685827e+00
-1.497212669683268160e+01,9.488144796380154844e+00
-1.499597285067883412e+01,9.387647058823592516e+00
-1.500180995475123247e+01,9.280000000000065086e+00
-1.500411764705892459e+01,9.180000000000063665e+00
-1.500000000000010125e+01,9.080000000000062244e+00
-1.500000000000010125e+01,8.930000000000061888e+00
-1.500000000000010125e+01,8.780000000000061533e+00
-1.500000000000010125e+01,8.630000000000059401e+00
-1.500000000000010125e+01,8.530000000000057980e+00
-1.500000000000010125e+01,8.430000000000056559e+00
-1.500000000000010125e+01,8.280000000000057980e+00
-1.500000000000010125e+01,8.180000000000056559e+00
-1.500000000000010125e+01,8.080000000000055138e+00
-1.500000000000010125e+01,7.930000000000054783e+00
-1.499588235294127792e+01,7.830000000000054250e+00
-1.500171945701367626e+01,7.730000000000053717e+00
-1.501389140271503386e+01,7.630000000000054072e+00
-1.502877828054309006e+01,7.530000000000052651e+00
-1.504276018099557533e+01,7.430000000000051230e+00
-1.505221719457023610e+01,7.330000000000050697e+00
-1.505352941176480641e+01,7.230000000000050164e+00
-1.505000000000010019e+01,7.130000000000048743e+00
-1.504647058823539396e+01,7.030000000000049099e+00
-1.504778280542996427e+01,6.930000000000047677e+00
-1.505723981900462505e+01,6.830000000000046256e+00
-1.507122171945711386e+01,6.730000000000046612e+00
-1.508610859728516829e+01,6.630000000000046079e+00
-1.509828054298652589e+01,6.530000000000045546e+00
-1.510411764705892423e+01,6.430000000000044125e+00
-1.510000000000010090e+01,6.330000000000044480e+00
-1.510000000000010090e+01,6.180000000000043237e+00
-1.509588235294127756e+01,6.080000000000041815e+00
-1.510171945701367591e+01,5.980000000000041283e+00
-1.511389140271503351e+01,5.880000000000041638e+00
-1.512877828054308793e+01,5.780000000000040217e+00
-1.514217194570145963e+01,5.680000000000038796e+00
-1.515615384615394845e+01,5.580000000000038263e+00
-1.515665158371050936e+01,5.480000000000037730e+00
-1.515533936651593905e+01,5.380000000000037197e+00
-1.516389140271503422e+01,5.280000000000036664e+00
-1.517515837104082799e+01,5.180000000000036131e+00
-1.518552036199105437e+01,5.080000000000035598e+00
-1.519828054298652908e+01,4.980000000000035065e+00
-1.520411764705892743e+01,4.880000000000033644e+00
-1.520000000000010409e+01,4.780000000000033111e+00
-1.520000000000010409e+01,4.680000000000032578e+00
-1.520000000000010409e+01,4.580000000000032045e+00
-1.520000000000010409e+01,4.480000000000030624e+00
-1.520000000000010409e+01,4.380000000000030091e+00
-1.520000000000010409e+01,4.280000000000029559e+00
-1.520000000000010409e+01,4.180000000000029026e+00
-1.520000000000010409e+01,4.080000000000028493e+00
-1.520000000000010409e+01,3.980000000000027516e+00
-1.520000000000010409e+01,3.880000000000027427e+00
-1.519647058823539787e+01,3.780000000000026450e+00
-1.519778280542996818e+01,3.680000000000025473e+00
-1.520723981900462896e+01,3.580000000000024496e+00
-1.522122171945711600e+01,3.480000000000024407e+00
-1.523610859728517042e+01,3.380000000000023430e+00
-1.524828054298652802e+01,3.280000000000022453e+00
-1.525411764705892637e+01,3.180000000000021920e+00
-1.525000000000010303e+01,3.080000000000021387e+00
-1.525000000000010303e+01,2.980000000000020410e+00
-1.525000000000010303e+01,2.880000000000019877e+00
-1.525000000000010303e+01,2.780000000000018900e+00
-1.524647058823539680e+01,2.680000000000018812e+00
-1.524778280542996711e+01,2.580000000000017835e+00
-1.525723981900462789e+01,2.480000000000017302e+00
-1.527122171945711671e+01,2.380000000000016325e+00
-1.528610859728517113e+01,2.280000000000015792e+00
-1.529828054298652873e+01,2.180000000000015259e+00
-1.530411764705892708e+01,2.080000000000014282e+00
-1.530000000000010374e+01,1.980000000000013971e+00
-1.530000000000010374e+01,1.880000000000012994e+00
-1.530000000000010374e+01,1.780000000000012461e+00
-1.530000000000010374e+01,1.680000000000011706e+00
-1.530000000000010374e+01,1.580000000000010951e+00
-1.530000000000010374e+01,1.480000000000010418e+00
-1.530000000000010374e+01,1.380000000000009663e+00
-1.530764705882363330e+01,1.276470588235302905e+00
-1.530814479638019421e+01,1.174253393665166456e+00
